writing_speed,errors,pauses,pattern_variability,label
0.22483570765056166,1,1.0418940167295545,0.2147950350063484,0.0
0.19308678494144077,2,0.8030931899036063,0.2274809224522367,0.0
0.23238442690503464,1,0.9988090581574541,0.21134185131057076,0.0
0.2761514928204013,5,1.1568005558621497,0.24765910209566153,0.0
0.1882923312638332,1,0.9623477329827387,0.16712184884818027,0.0
0.18829315215254097,4,1.2386225891702056,0.25302131832662617,0.0
0.2789606407753696,2,1.2043030785563729,0.18655341634163874,0.0
0.23837173645764545,0,1.1837829709316658,0.19683689966451934,0.0
0.1765262807032524,1,0.9080686455454006,0.22962042545221428,0.0
0.22712800217929824,3,0.7840315104437026,0.10367167679984479,0.0
0.1768291153593769,2,0.8772824789274412,0.23079884428404965,0.0
0.17671351232148716,3,1.0392481881333442,0.22371702981442307,0.0
0.21209811357830172,3,1.1091573427064711,0.16196942335065598,0.0
0.10433598776711012,1,0.5656857190479105,0.1171588569798979,0.0
0.11375410837434836,0,0.99837735967765,0.11818708998260824,0.0
0.17188562353795137,1,1.031617845064637,0.2846447493970457,0.0
0.14935844398327883,4,0.9444911487368897,0.23785586424516741,0.0
0.2157123666297637,2,1.2582547678031757,0.12542052275414808,0.0
0.15459879622393946,4,1.084356014850174,0.17134463386178128,0.0
0.12938481493323545,3,1.2620383816161795,0.2184965987803193,0.0
0.2732824384460777,2,0.9568078959299535,0.2671143410181297,0.0
0.18871118497567324,3,1.187495498501385,0.10873218574260171,0.0
0.2033764102343962,2,1.327013278905504,0.14732662629400178,0.0
0.12876259068932716,2,1.2623386898545323,0.277949798059076,0.0
0.17278086377374088,2,0.7815716813142534,0.1018331100367633,0.0
0.2055461294854933,3,0.9492647844915238,0.14027982055877747,0.0
0.14245032112888487,1,0.9309670589100407,0.2918048351945932,0.0
0.21878490091728361,2,1.0978509070152656,0.22268036930443422,0.0
0.16996806550405977,3,1.1372707110029066,0.1523342733275013,0.0
0.18541531251033616,2,0.8322214651948527,0.11339821887916952,0.0
0.16991466938853017,0,1.0135677027833876,0.10563826808944443,0.0
0.2926139092254469,1,0.5960145335687728,0.14894901592738546,0.0
